"declarationDate","state","placeCode","disasterNumber","title"
"2013-07-02T13:40:00 -04:00","IA",99179,4126,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-07-12T18:09:00 -04:00","ND",99067,4128,"SEVERE STORMS AND FLOODING"
"2013-07-12T18:09:00 -04:00","ND",99089,4128,"SEVERE STORMS AND FLOODING"
"2013-07-12T18:09:00 -04:00","ND",99103,4128,"SEVERE STORMS AND FLOODING"
"2013-07-12T18:38:00 -04:00","NY",99019,4129,"SEVERE STORMS AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99009,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99097,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99151,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-01-06T16:50:00 -05:00","AR",99141,4160,"SEVERE WINTER STORM"
"2014-01-23T15:30:00 -05:00","AK",45690,4162,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2014-01-29T15:53:00 -05:00","VT",99013,4163,"SEVERE WINTER STORMS"
"2014-03-06T18:00:00 -05:00","GA",99035,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99149,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99169,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99207,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99245,4165,"SEVERE WINTER STORM"
"2014-03-06T18:00:00 -05:00","GA",99313,4165,"SEVERE WINTER STORM"
"2014-03-31T13:45:00 -04:00","NC",99033,4167,"SEVERE WINTER STORM"
"2014-03-31T13:45:00 -04:00","NC",99135,4167,"SEVERE WINTER STORM"
"2014-04-02T17:16:00 -04:00","WA",67967,4168,"FLOODING AND MUDSLIDES"
"2014-04-17T11:43:00 -04:00","MT",99007,4172,"ICE JAMS AND FLOODING"
"2014-04-17T11:43:00 -04:00","MT",99083,4172,"ICE JAMS AND FLOODING"
"2014-04-22T09:28:00 -04:00","IN",99003,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99049,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99081,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99097,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99119,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-22T09:28:00 -04:00","IN",99163,4173,"SEVERE WINTER STORM AND SNOWSTORM"
"2014-04-29T10:24:00 -04:00","AR",99135,4174,"SEVERE STORMS,TORNADOES, AND FLOODING"
